Band	Genre	Status	City	State
Hugin Munin	Melodic Death Metal	Active	Santos	São Paulo
Human	Heavy Metal/Rock	Active	Feira de Santana	Bahia
Human Abomination	Death Metal	Active	Belo Horizonte	Minas Gerais
Human Act	Heavy Metal	Active	Brasília	Distrito Federal
Human Atrocity	Death Metal	Active	Brasília	Distrito Federal
Human Chaos	Heavy/Groove Metal	Active	Cascavel	Paraná
Human Hate	Doom/Sludge Metal/Hardcore	Split-up	Jundiaí	São Paulo
Human Hate	Thrash Metal	Active	Lavras	Minas Gerais
Human Machine of Hate	Death/Thrash Metal	Active	São Paulo	São Paulo
Human Meat Grinder	Death Metal/Grindcore	Active	São Paulo	São Paulo
Human Plague	Death Metal	Active	Santa Maria	Rio Grande do Sul
Human Stench	Crust/Death Metal/Grindcore	Split-up	Uberlândia	Minas Gerais
Humanal	Progressive Heavy/Groove Metal	Active	Curitiba	Paraná
Humanity Is Overrated	Grindcore	Unknown	Curitiba	Paraná
Humanizer	Thrash Metal	Active	Rio de Janeiro	Rio de Janeiro
HumanMeatGrinder	Goregrind/Crossover	Split-up	Barretos	São Paulo
Humanrise	Heavy Metal/Hard Rock	Active	São Luís	Maranhão
Humatha	Death Metal/Grindcore	Active	Euclides da Cunha	Bahia
Hunger	Thrash Metal	Active	Indaiatuba	São Paulo
Hungry Vultures	Atmospheric Black Metal	Unknown	Lima Duarte	Minas Gerais
Hurtgen	Death/Black Metal	Active	Maringá	Paraná
Hutt	Death Metal/Grindcore	Active	São Paulo	São Paulo
Huvala	Stoner/Sludge Metal	Active	Bahia	
Hybridus	Death/Black Metal	Split-up	Rio de Janeiro	Rio de Janeiro
Hyde River	Melodic Heavy Metal	On hold	Vila Velha	Espírito Santo
Hydria	Symphonic Metal	Split-up	Rio de Janeiro	Rio de Janeiro
Hydrown	Death/Thrash Metal	Active	Recife	Pernambuco
Hyerathica	Heavy/Power Metal	Active	São Paulo	São Paulo
Hylidae	Death/Thrash Metal	Active	Rio Branco	Acre
Hypatiah	Melodic Death Metal	Active	Salvador	Bahia
Hyperborean	Black Metal	Active	Ponta Grossa	Paraná
Hypnotica	Melodic Death Metal	Split-up	Goiânia	Goiás
I Gather Your Grief	Death/Doom Metal	Active		
I Saw the Devil	Grindcore/Death Metal	Split-up	Londrina	Paraná
I Shit on Your Face	Goregrind (early); Grindcore/Brutal Death Metal (later)	Split-up	Vila Velha	Espírito Santo
I-Arc	Heavy Metal	Active	São Paulo	São Paulo
I, Blasphemy	Death Metal/Deathcore	Unknown	Cabo de Santo Agostinho	Pernambuco
I.O.S.	Grindcore/Death Metal	Active	São Paulo	São Paulo
Iatrogenic	Death Metal	Changed name	Londrina	Paraná
Iced	Thrash/Death Metal	Split-up	Curitiba	Paraná
Icon of Sin	Heavy Metal	Active	Curitiba	Paraná
Iconoclastarum XXI	Black Metal	Active	Joinville	Santa Catarina
Id	Groove/Thrash Metal	Active	Lorena	São Paulo
Idade das Trevas	Black Metal	On hold	Macaé	Rio de Janeiro
Idolcrusher	Black Metal	Split-up	São Paulo	São Paulo
Ignatia Amara	Depressive Black Metal	Split-up	Osasco	São Paulo
Ignis Perpetua	Symphonic Metal	Active	Curitiba	Paraná
Ignispace	Symphonic Power Metal	Active	Piracicaba	São Paulo
Ignited	Heavy Metal	Active	Balneário Camboriú	Santa Catarina
Ignorance	Death Metal	Active	Belo Horizonte	Minas Gerais
Ignorance	Thrash/Death Metal	Split-up	Santos	São Paulo
Ignus	Black Metal	Split-up	Belo Horizonte	Minas Gerais
Igor Bollos	Progressive Metal/Metalcore, Shred, Various	Active	São Paulo	São Paulo
Ilizarov	Death/Thrash Metal	Active	Formosa	Goiás
Illuminate	Progressive Death Metal	Active	Brasília	Distrito Federal
Illumination	Atmospheric Black Metal	Active	Rio de Janeiro	Rio de Janeiro
Illustria	Melodic Power Metal	Split-up	São Paulo	São Paulo
Iluminari	Progressive/Gothic Metal/Rock	Active	Anápolis	Goiás
Iluminato	Gothic Metal	Split-up	Rio de Janeiro	Rio de Janeiro
Iluna Perpetua	Melodic Blackened Death Metal	Active	Belo Horizonte	Minas Gerais
Imagery	Progressive Rock/Metal	Active	Londrina	Paraná
Imago Mortis	Epic Doom Metal	Active	Rio de Janeiro	Rio de Janeiro
Imblut	Death/Thrash Metal	Active	Indaial	Santa Catarina
Imflawed	Groove/Thrash Metal	Active	Recife	Pernambuco
Immaculatum	Power/Progressive Metal	Split-up	Camaragibe	Pernambuco
Immer Gott	Death Metal	Split-up	São Paulo	São Paulo
Imminent Attack	Thrash Metal/Crossover	Active	Barueri	São Paulo
Imminent Doom	Black/Thrash Metal	Active	Rio de Janeiro	Rio de Janeiro
Imminentchaos	Crossover	Active	Santo André	São Paulo
Immolated	Brutal Death Metal	Split-up	São Paulo	São Paulo
Immortal Choir	Power/Speed Metal	Unknown	Manaus	Amazonas
Immortal Opus	Melodic Death Metal	Active	Belo Horizonte	Minas Gerais
Immortal Sin	Heavy Metal	Active	Cabo Frio	Rio de Janeiro
Immortuos	Death Metal	Active	Marília	São Paulo
Immuno Affinity	Death Metal	Active	Rio de Janeiro	Rio de Janeiro
Immuration	Death Metal/Goregrind	Active	São Paulo	
Imoonterk	Blackened Death Metal	Unknown	Contagem	Minas Gerais
Imopectore	Heavy/Doom/Black Metal	Split-up	Sorocaba	São Paulo
Imortal	Heavy Metal/Hard Rock	Split-up		
Imortal Perséfone	Black Metal	Active	Novo Hamburgo	Rio Grande do Sul
Impact	Death/Thrash Metal	Active	São Cristóvão	Sergipe
Impacto Profano	Black Metal	Active	Rio de Janeiro	Rio de Janeiro
Impalatorium	Black Metal	Split-up	São Paulo	São Paulo
Impaledation	Black Metal	Active		
Impallus Mortiis	Raw Black Metal	Split-up		
Imperador Belial	Black Metal	Active	São Gonçalo	Rio de Janeiro
Imperfect Creation	Melodic Death Metal	Split-up	Jacareí	São Paulo
Imperfect Souls	Thrash/Death Metal	Active	Muzambinho	Minas Gerais
Imperfecta	Heavy/Thrash Metal	Active	Rio de Janeiro	
Imperial	Gothic Metal	Split-up	São Paulo	São Paulo
Imperial	Progressive/Power Metal	Unknown	Fortaleza	Ceará
Imperial Baphomet	Black Metal	Active	Salvador	Bahia
Imperial Devastation	Death Metal	Split-up	Cotia	São Paulo
Imperial Doom	Death Metal	Active	São José do Rio Preto	São Paulo
Imperial Dusk	Black Metal	Active	Santa Maria da Vitória	Bahia
Imperial Lucyfer	Black Metal	Split-up	Santa Luzia	Minas Gerais
Império de Satanás	Black Metal	Unknown	São Paulo	São Paulo
Imperio Death	Death/Black Metal	Active	Brasília	Distrito Federal
Império Profano	Black/Death Metal	Active	Fortaleza	Ceará
Império Profano 666	Black Metal	Active	Vitória	Espírito Santo
Imperious Malevolence	Brutal Death Metal	Active	Curitiba	Paraná
Imperious Symphonic & Noisy	Raw Black Metal	Active	Aracaju	Sergipe
Imperium Domini	Death/Black Metal	Split-up	São Paulo	São Paulo
Imperium Infernale	Black Metal	Active	São Paulo	São Paulo
Imperium of Iblis	Death/Black Metal	Split-up	Curitiba	Paraná
Imperium Tenebrae	Black Metal	Split-up	Jaraguá do Sul	Santa Catarina
Imperius Profanus	Black Metal	Active	Goiânia	Goiás
Impetuoso Desdém	Black Metal	Active	Embu das Artes	São Paulo
Impetuous	Melodic Death Metal	Active	Guarujá	São Paulo
Impetuous Rage	Death Metal	Split-up	Salvador	Bahia
Impetus Maleficum	Black Metal	Split-up	Curitiba	Paraná
Impetus Malignum	Black Metal	Unknown	Porto Alegre	Rio Grande do Sul
Impheral	Melodic Death Metal	Split-up	São Paulo	São Paulo
Impiedoso	Black Metal	Active	Jaraguá do Sul	Santa Catarina
Impietus	Thrash/Death Metal	Active	Rio de Janeiro	
Ímpios	Black Metal	Active	Caruaru	Pernambuco
Impios	Death Metal	Active	Alagoinhas	Bahia
Implement	Death Metal	Active	Recife	Pernambuco
Implexi	Progressive/Power Metal	Unknown	São Bernardo do Campo	São Paulo
Improbus	Death Metal	Split-up	Fortaleza	Ceará
Improved	Groove/Heavy Metal/Hard Rock	Active	Brasilia	Distrito Federal
Impulse Noise	Death Metal	Active	São Paulo	
Impure Blood	Death/Thrash Metal	Active	Barreiras	Bahia
Impure Essence	Black/Thrash Metal	Active	São Paulo	São Paulo
Impurity	Black Metal	Active	Belo Horizonte	Minas Gerais
Impuro	Black Metal	Split-up	Joinville	Santa Catarina
Impuros	Black Metal	Active	Belo Horizonte	Minas Gerais
Imundície	Goregrind	Active	Porto Alegre	Rio Grande do Sul
Imundo	Thrash Metal/Crossover	Active	Lajeado	Rio Grande do Sul
In Absenthia	Gothic/Doom Metal	Active	Rio Grande	Rio Grande do Sul
In Aeternum Mortis	Black Metal	Unknown	Fortaleza	Ceará
In Apostasia	Black Metal	Active	Governador Valadares	Minas Gerais
In Celebration	Symphonic Doom/Death Metal	Split-up	São Paulo	São Paulo
In Dead Eternity	Melodic Death Metal	Active	Ceará	
In Great Pain	Depressive Black Metal	Active	Barbacena	Minas Gerais
In Hell	Death Metal	Split-up	Praia Grande	São Paulo
In Hora Mortis Meae	Black Metal/Ambient	Active	Fortaleza	Ceará
In Human God	Brutal Death Metal	Split-up	Fortaleza	Ceará
In Infernal War	Black Metal	Active	Salvador	Bahia
In Memorian	Death/Black Metal	Split-up	Timóteo	Minas Gerais
In Nomine	Death Metal	Split-up	Blumenau	Santa Catarina
In Nomine Belialis	Black Metal	Active	Belo Horizonte	Minas Gerais
In Nomine Satanis	Black Metal	Active	São Luís	Maranhão
In Perpetuum	Gothic Metal	Split-up	Conselheiro Lafaiete	Minas Gerais
In Soulitary	Power/Thrash Metal	Active	Ribeirão Pires	São Paulo
In the Mystic Fog	Black Metal	Active	Feira de Santana	Bahia
In the Profound Abyss	Black Metal	Split-up	Santos	São Paulo
In the Shadows	Doom/Death Metal	Active	Anápolis	Goiás
In Torment	Technical/Brutal Death Metal	Active	São Leopoldo	Rio Grande do Sul
In Void Sun	Doom Metal	Active	Campina Grande	Paraíba
In-Pace	Black Metal	Split-up		
Inaftor	Speed/Thrash Metal/Crossover	Active	Diadema	São Paulo
Inanimalia	Melodic Death Metal	Active	Ribeirão Preto	São Paulo
Inbleeding	Extreme Groove Metal	Unknown	Goiânia	Goiás
Incarcehated	Thrash Metal	Active	João Pessoa	Paraíba
Incarceration	Death Metal	Active	Manaus	Amazonas
InCarne	Technical Death Metal	Active	Lavras	Minas Gerais
Incarnum	Death Metal	Split-up	Macaé	Rio de Janeiro
Inception	Progressive Death Metal	Active	Espírito Santo	
Inception	Black/Death Metal	Active	Guarapuava	Paraná
Incessant Damnation	Death Metal	Active	Manaus	Amazonas
Incestus Kadavericus	Black/Death Metal	Active	Nossa Senhora do Socorro	Sergipe
Incinerad	Death/Black Metal	Active	Indaiatuba	São Paulo
Incinerador	Death Metal	Active	Porto Velho	Rondônia
Incinerated Clitorial Region	Death Metal	Split-up	São Cristóvão	Sergipe
Incinerator	Death Metal	Changed name	Rio de Janeiro	Rio de Janeiro
Inciter	Black/Thrash Metal	Active	Betim	Minas Gerais
Incivus Infectus	Death Metal	Unknown	Curitiba	Paraná
Incognitum	Black/Death Metal	Active	Porto Alegre	Rio Grande do Sul
Incognosci	Death Metal	Active	Rio de Janeiro	Rio de Janeiro
Incoma	Deathcore	Active	Maringá	Paraná
Incomprehension	Power/Thrash Metal	Split-up	Jundiaí	São Paulo
Incredulos	Death Metal	Active	Salvador	Bahia
Incredulous	Black Metal	Split-up	Teresina	Piauí
Incredulus	Black Metal	Split-up	Contagem	Minas Gerais
Incrust	Death Metal	On hold	Salvador	Bahia
Incubus	Thrash Metal	Split-up	João Pessoa	Paraíba
Incubus	Thrash Metal	Split-up	Santo André	São Paulo
Incubus	Thrash Metal	Split-up	Itabira	São Paulo
Incurse	Death/Groove Metal	Active	Varginha	Minas Gerais
Indeferal	Black/Doom Metal	Split-up	Porto Alegre	Rio Grande do Sul
Index Librorvm Prohibitorvm	Death/Thrash Metal	Unknown	Salvador	Bahia
Indiscipline	Heavy Metal/Hard Rock	Unknown	Rio de Janeiro	Rio de Janeiro
Individual	Technical Death Metal	Active	São Paulo	São Paulo
Indominus	Heavy Metal	Active	Salvador	Bahia
Indulgence	Death Metal	Split-up	Porto Alegre	Rio Grande do Sul
Industrial Noise	Grindcore/Death Metal	On hold	Presidente Prudente	São Paulo
Ineffable Act	Thrash Metal	Split-up	Goiânia	Goiás
Inerthe	Black/Death Metal	Split-up	São Paulo	São Paulo
Inexistence	Technical Death Metal	Active	Porto Alegre	Rio Grande do Sul
Inexistência	Black Metal	Active	Curitiba	Paraná
Infame	Death Metal/Grindcore	Active	Brasília	Distrito Federal
Infamous	Death Metal	Split-up	Salvador	Bahia
Infamous Glory	Death Metal	Active	São Paulo	São Paulo
Infamy	Death Metal	Active	Imperatriz	Maranhão
Infantricide	Death Metal	Split-up	Franca	São Paulo
Infectai	Speed/Thrash Metal/Crust	Unknown	Florianópolis	Santa Catarina
Infected	Thrash Metal	Split-up	Santo André	São Paulo
Infected	Death Metal	Split-up	Recife	Pernambuco
Infected Cells	Death/Thrash Metal	Active	Simões Filho	Bahia
Infected Mind	Death/Thrash Metal	Unknown	Campina Grande	Paraíba
Infected Morchirium	Black Metal	Active	Maringá	Paraná
Infected Sphere	Brutal Death Metal	Active	Caxias do Sul	Rio Grande do Sul
Infection	Death Metal	Active	Manaus	Amazonas
Infectious Offerings	Death Metal	Split-up	Belo Horizonte	Minas Gerais
Infector	Death Metal	Active	São Vicente	São Paulo
Infector Cell	Thrash/Death Metal	Active	Cotia	São Paulo
Infectos	Brutal Death Metal	Active	Paulista	Pernambuco
Infects Humanity	Heavy Metal	Unknown	Bauru	São Paulo
Infecttos	Heavy Metal	Split-up	São Paulo	São Paulo
Infectus	Black/Death Metal	Unknown	São Paulo	São Paulo
Infektus	Death Metal	Split-up	Timbó	Santa Catarina
Inferius	Death Metal	Active	Botucatu	São Paulo
Inferms	Death Metal/Grindcore	Active	Ananindeua	Pará
Infernal	Death Metal	Split-up	Curitiba	Paraná
Infernal Abomination	Black/Death Metal	Active	Belo Horizonte	Minas Gerais
Infernal Atröz	Black/Thrash Metal	Active	Blumenau	Santa Catarina
Infernal Attack	Black/Thrash/Speed Metal	Split-up	Itabaiana	Sergipe
Infernal Blasphemy	Death/Black Metal	Split-up	Rio de Janeiro	Rio de Janeiro
Infernal Blood	Black Metal	Split-up	São Paulo	São Paulo
Infernal Course	Death Metal	Active	São Roque	São Paulo
Infernal Deathcrusher	Death/Black Metal	Changed name	Rio de Janeiro	Rio de Janeiro
Infernal Devotion	Raw Black Metal	Split-up	Governador Valadares	Minas Gerais
Infernal Flames	Black/Thrash Metal	Active	Colatina	Espírito Santo
Infernal Hate	Thrash Metal	Active	Ijuí	Rio Grande do Sul
Infernal Hounds	Thrash Metal	Active	Araras	São Paulo
Infernal Inquisition	Black Metal	Active	Campina Grande	Paraíba
Infernal Magma	Black/Death Metal	Active	São Paulo	
Infernal Noise	Death Metal/Grindcore	Split-up	Ribeirão Preto	São Paulo
Infernal Side	Black Metal	Active	São Paulo	São Paulo
Infernal Torment	Death Metal	Split-up	Paraná	
Infernal War 666	Black Metal	Active	Lages	Santa Catarina
Infernal Winds	Black Metal	Split-up	Paranaguá	Paraná
Infernalis Irae	Black Metal	Active		
Infernalium	Black Metal	Unknown	Santo André	São Paulo
Infernalium Niigra Mortis ad Cristus	Black Metal	Active	Teresina	Piauí
Infernizer	Thrash/Death Metal	Active	Caruaru	Pernambuco
Inferno Nuclear	Thrash Metal	Active	Belém	Pará
Inferno Tenebri	Black Metal	Unknown	Teresina	Piauí
Inferno Virtue	Raw Black Metal	Active		
Inferus	Black Metal	Unknown	Fortaleza	Ceará
Infestatio	Thrash Metal	Active	Jundiaí	São Paulo
Infested Blood	Brutal Death Metal	Active	Recife	Pernambuco
Infesto	Thrash Metal/Crossover	Active	Belém	Pará
Infinity Horror	Death Metal	On hold	Assis	São Paulo
Infinity of Thoughts	Black Metal/Ambient	Active	Osasco	São Paulo
Inflamed	Symphonic Black/Death Metal	Active	Agudos	São Paulo
Inflamula	Black Metal	Active	Salvador	Bahia
Influxxo	Death Metal/Grindcore	Active	Belo Horizonte	Minas Gerais
Infortuno	Death/Doom Metal, Hardcore	Active	Piracicaba	São Paulo
Infvscomvs	Black Metal	Active	Paulo Alfonso	Bahia
Inglorious Basterds	Heavy/Power Metal	Active	Indaiatuba	São Paulo
Ingräte	Metalcore	Active	São Paulo	
Ingridi Verardo	Symphonic Metal	Active	Veranópolis	Rio Grande do Sul
Inherit	Technical Death Metal	Unknown	Salvador	Bahia
Inheritance	Progressive Metal/Rock	Active	São Paulo	São Paulo
Inheritours	Death Metal	Active	Caxias do Sul	Rio Grande do Sul
Inhumane Rites	Black/Death Metal	Active	Sorocaba	São Paulo
Initiate Decay	Death Metal	Active	Esteio	Rio Grande do Sul
Injecting Death	Melodic/Atmospheric Black Metal	Active	Parapua	São Paulo
Injúria	Thrash Metal	Active	Leme	São Paulo
Injury	Death Metal/Grindcore/Crossover	Active	São Paulo	São Paulo
Inkognitta	Crossover/Death Metal/Hardcore Punk	Unknown	São Paulo	São Paulo
Inmitten des Waldes	Black Metal	Changed name	Ponta Grossa	Paraná
Inner Caligula	Heavy Metal	Active	Porto Alegre	Rio Grande do Sul
Inner Call	Heavy Metal	Active	São Paulo	São Paulo
Inner Demons Rise	Death Metal	Active	Recife	Pernambuco
Inner Fear	Heavy Metal	Split-up	Leme	São Paulo
Inner Immensity	Heavy Metal	Active	Brasília	Distrito Federal
Inner Rage	Experimental/Brutal Death Metal	Split-up	São Paulo	São Paulo
Inner Shadows	Progressive Death Metal	Split-up	Rio de Janeiro	Rio de Janeiro
Inner-I	Sludge/Post-Metal	Changed name	Bauru	São Paulo
Innerforce	Progressive/Heavy Metal	Unknown	Limeira	São Paulo
Innerlike Stryd	Funeral Doom Metal/Ambient	Split-up	Rio de Janeiro	
Innerstille	Black Metal	Active	Belo Horizonte	Minas Gerais
Innerthia	Technical Death Metal	Split-up	Jacareí	São Paulo
Inno a Satanna	Black Metal	Split-up	São Luís	Maranhão
Innocence Lost	Progressive/Symphonic Metal	Active	Rio de Janeiro	Rio de Janeiro
Innocence Pure Mutilated	Heavy Metal	Changed name	Sete Lagoas	Minas Gerais
Innominatus	Black Metal	Active	Curitiba	Paraná
Inoculation	Death Metal	Active	Salvador	Bahia
Inox	Heavy Metal	Split-up	São Paulo	São Paulo
Inquisição	Heavy/Speed Metal	Unknown	Rio de Janeiro	Rio de Janeiro
Inquisitor	Thrash/Death Metal	Split-up	Santo André	São Paulo
Inrage	Groove Metal	Split-up	São Paulo	São Paulo
INRI	Thrash Metal	Unknown	Porto Alegre	Rio Grande do Sul
INRI Apostasia	Black Metal	Unknown	Feira de Santana	Bahia
Inrisório	Death Metal/Grindcore	Active	Aracaju	Sergipe
Insaintfication	Thrash Metal	Active	Salvador	Bahia
Insane Death	Death Metal	Split-up	Natal	Rio Grande do Norte
Insane Devotion	Symphonic Black Metal	Active	Curitiba	Paraná
Insane Hell	Heavy/Black Metal	Active	São Paulo	São Paulo
Insane Madness	Grindcore	Active	Natal	Rio Grande do Norte
Insane War	Thrash/Death Metal	Split-up	Araguari	Minas Gerais
Insanecide	Heavy Metal/Hard Rock	Split-up	Volta Redonda	Rio de Janeiro
Insanewolf	Heavy/Power Metal	Active	Itajubá	Minas Gerais
Insânia	Thrash/Groove Metal	Active	Recife	Pernambuco
Insanidade Mental	Thrash Metal	Unknown	Estiva Gerbi	São Paulo
Insanitah	Thrash/Death Metal	Active	São Paulo	São Paulo
Insanitears	Doom Metal	Active	Teresina	Piauí
Insanity	Death/Thrash Metal	Split-up	Fortaleza	Ceará
Insanity Dawn	Progressive Metal	Unknown	Fortaleza	Ceará
Insanity Force	Death Metal/Grindcore	Active	São Paulo	São Paulo
Insanity Seas	Doom/Death/Sludge Metal	Active	Porto Alegre	Rio Grande do Sul
Insannica	Thrash Metal (early); Groove Metal/Metalcore (later)	Active	Juiz de Fora	Minas Gerais
Insannity	Death Metal	Active	Taubaté	São Paulo
Insanum	Thrash Metal	Active	Juiz de Fora	Minas Gerais
Insecticida	Thrash Metal	Split-up	Timbaúba	Pernambuco
Insepsy	Goregrind	Split-up	Fortaleza	Ceará
Inside Hatred	Death Metal	Active	Vitória da Conquista	Bahia
Inside Shadows	Symphonic Power Metal	Active	São Paulo	
Inside War	Thrash Metal	Active	São Paulo	São Paulo
Insideout	Progressive Power/Thrash Metal	Split-up	Natal	Rio Grande do Norte
Insidious Nature	Progressive/Technical Death Metal	Active	São Luis	Maranhão
Insignia	Heavy Metal	Active	Mogi Guaçu	São Paulo
Insolitum	Death Metal	Active	Brasília	Distrito Federal
Insone	Death Metal	Active	Timóteo	Minas Gerais
Insônia Sem Fim	Depressive Black Metal	Active		
Instep	Thrash/Death Metal	Unknown	Vila Velha	Espírito Santo
Instigante Precipício	Black Metal	Split-up	Tamoios (Cabo Frio)	Rio de Janeiro
Instinto Ruim	Grindcore	Active	Recife	Pernambuco
Insult	Black Metal	Split-up	Santa Bárbara d'Oeste	São Paulo
Insulter	Death/Thrash Metal	Active	Belo Horizonte	Minas Gerais
Insultum	Black Metal	Active	Picos	Piauí
Insurgent	Black Metal	Active		
Insurgent Chaos	Death Metal	Active	Cuiabá	Mato Grosso
Insurgentes	Crossover/Thrash Metal	Split-up	Florianópolis	Santa Catarina
Insurrection	Death Metal	Split-up	Belo Horizonte	Minas Gerais
Insurrection Down	Death/Thrash Metal/Grindcore	Active	Surubim	Pernambuco
Insurreição	Thrash Metal	Split-up	Brasília	Distrito Federal
Intellectual Moment	Symphonic Black Metal	Split-up	Governador Valadares (early); Belo Horizonte	Minas Gerais
Intense Desire to Kill	Death Metal	Active	Santa Luzia	Minas Gerais
Intercepto	Thrash/Death Metal	Active	Ilhéus	Bahia
Interceptör	Heavy Metal/Hard Rock	Active	Rio Claro	São Paulo
Interior Soul	Brutal Death Metal	Changed name	Porto Alegre	Rio Grande do Sul
Interium	Death Metal	Active	Rio de Janeiro	Rio de Janeiro
Internal Bleed	Death Metal	Active	São Gonçalo	Rio de Janeiro
Internal Decay	Thrash/Death Metal	Split-up	Maringá	Paraná
Internaldeath	Death Metal	Active	Vila Velha	Espírito Santo
Intestinal Vomit	Death Metal	Active	Teresina	Piauí
Inti	Black Metal	On hold	Aracaju	Sergipe
Intifada	Death Metal/Grindcore	Changed name	São Paulo	São Paulo
Into Morphin	Death/Black Metal	Active	Teresina	Piauí
Into Spectrum	Doom Metal	Unknown	São Gonçalo	Rio de Janeiro
Into the Black Forest	Black Metal	Active	Belo Horizonte	Minas Gerais
Into the Cave	Black/Death Metal	Active	Rio de Janeiro	Rio de Janeiro
Into the Corpse	Death Metal/Goregrind	Active	Salvador	Bahia
Into the Crypt	Black Metal	Active	Rio das Ostras	Rio de Janeiro
Into the Darkness My Destiny	Black Metal	Active	São Paulo	São Paulo
Into the Dust	Stoner Metal	Active	Brasília	Distrito Federal
Into the Fire	Death Metal	Split-up	São Paulo	São Paulo
Into the Void	Deathcore	Active	Piracicaba	São Paulo
Intoctum	Doom/Black Metal	Unknown	São Paulo	São Paulo
Intoxicated	Speed/Thrash Metal	Changed name	Brasília	Distrito Federal
Intribe	Thrash/Death Metal	Split-up	Curitiba	Paraná
Intrínseco	Post-Black Metal	Active	Ametista do Sul	Rio Grande do Sul
Introspection	Melodic Black/Death Metal	Active	Maceió	Alagoas
Introspective Existence	Doom Metal	Active	Rio de Janeiro	
Intrusive Encode	Death Metal	Active	Porto Alegre	Rio Grande do Sul
Intrusor	Heavy Metal/Hard Rock	Active	Maranguape	Ceará
Invalid Target	Melodic Death/Power Metal	Active		
Invasão Bestial	Death Metal	Active	Rio de Janeiro	Rio de Janeiro
Invazão	Death Metal/Grindcore	Unknown	Curitiba	Paraná
Inventtor	Death/Doom Metal	Active	Belo Horizonte	Minas Gerais
Invernal Noctambular	Raw Black Metal	Active		
Inverno Soturno	Depressive Black Metal/Ambient	Active	Belém	Pará
Inversa Visio	Heavy Metal	Split-up	Belo Horizonte	Minas Gerais
Inverse Cross	Death/Black Metal	Split-up		
Inverted Cross Cult	Death/Doom/Sludge Metal	Active	Porto Feliz	São Paulo
Invisible Control	Progressive Death Metal	Active	Alagoas / Pernambuco / Rio Grande do Norte	
Invisible Order	Speed/Thrash/Heavy Metal	Split-up	São Paulo	São Paulo
Invokaos	Death Metal	Active	Diadema	São Paulo
Invoker	Black Metal	Split-up	Barbacena	Minas Gerais
Ioroque	Black Metal	Active	Belém	Pará
Ira Divina	Black Metal	Split-up	Aracaju	Sergipe
Iron Bastard	Black/Speed Metal	Active	Itu	São Paulo
Iron Cage	Black/Death Metal	Active	São Paulo	
Iron Trash	Black/Death Metal	Active	Belo Horizonte	Minas Gerais
Iron Woods	Pagan/Black Metal	Active	Taubaté	São Paulo
Ironbound	Thrash Metal/Crossover	Active	Alagoinhas	Bahia
Irritator	Thrash Metal	Split-up	São Paulo	São Paulo
Isa Nielsen	Heavy Metal/Hard Rock	Active	São Paulo	São Paulo
Isaque Athimospherus	Progressive Metal/Shred	Split-up	Ouro Branco	Minas Gerais
Isaurian	Gothic/Doom/Post-Metal	Active	Distrito Federal	
Isen Son	Heavy/Thrash Metal	Active	Maringá	Paraná
Isfet	Melodic Black/Death Metal	Active	Florianópolis	Santa Catarina
Ìsinkú	Black Metal	Active	Natal	Rio Grande do Norte
Ismirilation	Thrash Metal/Crossover	Split-up	Machado	Minas Gerais
Isod	Melodic Power Metal	Unknown	Curitiba	Paraná
Isolate	Death Metal	Active	Brasília	Distrito Federal
Itium Profanum	Black Metal	Active	Uberlândia	Minas Gerais
Itself	Death/Thrash Metal (early); Symphonic Death Metal (later)	Active	São Paulo	São Paulo
Ivann	Death/Thrash Metal	Active	Belém	Pará
Ivory Gates	Progressive Metal	Active	Piracicaba	São Paulo
Ivpiter	Black Metal	Unknown	Curitiba	Paraná
Jack the Joker	Progressive/Heavy Metal	Active	Fortaleza	Ceará
Jackdevil	Speed/Thrash Metal	On hold	São Luís	Maranhão
Jackhammer	Power/Thrash Metal	Unknown	Jandira	São Paulo
Jackknife	Thrash Metal	Split-up	São Paulo	São Paulo
Jaeger	Sludge/Stoner/Doom Metal	Active	Osasco	São Paulo
Jailbait	Heavy Metal, Hard Rock	Active	São Paulo	São Paulo
Jailor	Thrash Metal	Active	Curitiba	Paraná
Janaina Melo	Metalcore	Active	Maceió	Alagoas
Jarakillers	Thrash Metal	Active	Manaus	Amazonas
Jaws	Power Metal	Split-up	São Paulo	São Paulo
Jeff Metal	Neoclassical Power Metal	Active	São Paulo	São Paulo
Jênova	Melodic Heavy Metal	Split-up	Osasco	São Paulo
Jesters of Fate	Heavy/Power Metal	Split-up	Jundiaí	São Paulo
Jesushed	Thrash Metal/Crossover/Hard Rock	Active	São Paulo	São Paulo
Jezebedth	Black Metal	Active	Recife	Pernambuco
Jezreel	Black Metal	Active	Ceará	
Jhonatan Gomes Ramos	Power Metal, Classical	Active		
João	Grindcore/Noise/Death Metal	Split-up	Curitiba	Paraná
Joe Rotten	Heavy Metal/Shred	Active	São Paulo	São Paulo
Joukahainen	Melodic Death Metal	Split-up	Piracicaba	São Paulo
Judas Iscariotes	Thrash/Death Metal	Active	Taquaritinga	São Paulo
Judgement	Power Metal	Split-up	Barra Mansa	Rio de Janeiro
Judgment of Souls	Heavy/Thrash Metal	Split-up	São Paulo	São Paulo
Jugger	Progressive Metal/Rock	Split-up	São Paulo	São Paulo
Juggernaut	Thrash Metal	Active	Blumenau	Santa Catarina
Julgamento	Thrash Metal	Active	Fortaleza	Ceará
Julgamento	Death/Thrash Metal with Hardcore influences	Split-up	Itapira	São Paulo
