Band	Genre	Status	City	State
Aldren Liebe	Symphonic/Gothic Metal	Split-up	Florianópolis	Santa Catarina
Alefla	Melodic Power Metal	Active	Pindamonhangaba	São Paulo
Aleister C.	Thrash/Groove Metal	Split-up	Mogi das Cruzes	São Paulo
Alekto	Death/Groove Metal	Active	São Paulo	São Paulo
Além-Homem	Black Metal	Active	Campos dos Goytacazes	Rio de Janeiro
Aleph	Symphonic Power/Gothic Metal	Split-up	João Pessoa	Paraíba
Alerta Vermelho	Thrash Metal/Crossover	Split-up	Belo Horizonte	Minas Gerais
Alexandre Rocha	Progressive Metal	Active	Bauru	São Paulo
Alfa	Death/Thrash Metal	Split-up	Paranavai	Paraná
Alfarinn	Black Metal	Active	Arraial Do Cabo	Rio de Janeiro
Algea	Depressive Black Metal	Active	Curitiba	Paraná
Algoz	Melodic Heavy Metal	Split-up	Piracicaba	São Paulo
Algoz Profanador	Black/Thrash Metal	Active	São Paulo	São Paulo
Alicercius	Melodic Power Metal	Active	Rio de Janeiro	Rio de Janeiro
Alien	Heavy Metal	Split-up	Sobradinho	Distrito Federal
Alien's Purger	Grindcore/Death Metal	Active	Ouro Branco	Minas Gerais
Aliquid	Progressive/Power Metal	Active	Aracaju	Sergipe
Alíria	Groove Metal	Active	Olinda	Pernambuco
Alkahest	Atmospheric Black Metal	Split-up	Minas Gerais	
Alkanza	Thrash/Groove Metal	Active	Tubarão	Santa Catarina
Alkila	Death/Thrash Metal	Active	Laguna	Santa Catarina
Alkimistal	Melodic Death/Thrash Metal/Metalcore	Changed name	São Paulo	São Paulo
Alkymenia	Thrash Metal	Active	Caruaru	Pernambuco
All Eternity	Power Metal	Unknown	Curitiba	Paraná
All I Hate	Death Metal	Active	Sorocaba	São Paulo
All Still Burns	Metalcore	Active	Belém	Pará
Allegro	Power Metal	Active	Rio de Janeiro	Rio de Janeiro
Allen Key	Heavy/Groove Metal	Active	São Paulo	
Alles Blau	Thrash Metal	Split-up	São Leopoldo	Rio Grande do Sul
Alliance	Progressive/Power Metal	Unknown	Fortaleza	Ceará
Allienatyon	Death Metal	Active	Itajobi	São Paulo
Allmadda	Progressive Metal	Unknown	Rio de Janeiro	Rio de Janeiro
Alloces	Black Metal	Active	Goiás	
Allos	Progressive Power Metal	Active	Belo Horizonte	Minas Gerais
Alltorment	Thrash Metal	Unknown	Goiânia	Goiás
Allzheimer	Death Metal	Split-up	Campinas	São Paulo
Alma Negra	Heavy/Thrash Metal	Active	Curitiba	Paraná
Almah	Progressive/Power Metal	Split-up	São Paulo	São Paulo
Almanon	Death/Black Metal	Active	Auriflama	São Paulo
Almanon	Death/Thrash Metal	Active		
Almas Charruas	Doom Metal	Active	Lages	Santa Catarina
Almas Impuras	Black Metal	Split-up	Praia Grande	São Paulo
Almighty Emperor	Black Metal	Split-up	Duque de Caxias	Rio de Janeiro
Alocer	Black Metal	Active	Balneário Camboriú	Santa Catarina
Alocer	Black Metal	Split-up	Sorocaba	São Paulo
Alone Path	Raw Black Metal	Active	Cabo Frio	Rio de Janeiro
Alone Stale	Doom/Death Metal	Active	Rio Grande	Rio Grande do Sul
Alone with Whores	Black Metal/Grindcore	Active	Catanduva	São Paulo
Alpha Scorpii	Melodic Death Metal	Split-up	Varginha	Minas Gerais
Alta Tensão	Heavy Metal	Active	Campo Grande	Mato Grosso do Sul
Alten Blut	Black Metal	Active		
AlterGeist	Melodic Power Metal	Active	Rio de Janeiro	Rio de Janeiro
Althar	Thrash Metal	Split-up	Três Coroas	Rio Grande do Sul
Alttar	Progressive Metal	Active	São Luís	Maranhão
Altú Págánach	Folk Black Metal	Split-up	Lavras	Minas Gerais
Alyiria	Progressive/Symphonic Death Metal	Active	Teresina	Piauí
Amaduscias	Death Metal	Active	Carazinho	Rio Grande do Sul
Âmago	Atmospheric Black Metal	Active	São Bento do Sul	Santa Catarina
Amantikir	Blackened Heavy Metal	Active	Cruzeiro	São Paulo
Amargo	Raw Black Metal/Noise	Unknown		
Amarna Sky	Doom Metal with Industrial/Middle Eastern/Progressive influences	Active	São Paulo	São Paulo
Amazarak	Black Metal	Active	São Paulo	São Paulo
Amazon	Melodic Heavy Metal/Rock	Changed name	Valinhos	São Paulo
Ambition	Heavy Metal/Hard Rock	Active	Curitiba	Paraná
Ambivalentt	Groove/Thrash Metal	Active	São Paulo	São Paulo
Ameba Suicida	Thrash Metal	Split-up	Salto	São Paulo
Amen Corner	Black Metal	Active	Curitiba	Paraná
Amenkharis	Gothic/Doom Metal	Active	Mossoró	Rio Grande do Norte
Amenthis	Death Metal	Split-up	Ceilândia	Distrito Federal
Amintor	Heavy/Thrash Metal	Active	São Paulo	São Paulo
Amnesia	Thrash/Death Metal	Split-up	Rio de Janeiro	Rio de Janeiro
Amnistia	Thrash Metal	Changed name	Itabuna	Bahia
Amnom	Gothic/Death Metal	Unknown	São Luís	Maranhão
Amnos	Black Metal	Active	Rio de Janeiro	Rio de Janeiro
Amonicide	Thrash Metal	Split-up	Brasília	Distrito Federal
Amort	Black Metal	Active	Diadema	São Paulo
Amorth	Black Metal	Active		
Amos	Gothic Metal	Active	Campo Grande	Mato Grosso do Sul
Amplexus Mortem	Black Metal	Active	Guaíba	Rio Grande do Sul
Amplifires	Heavy Metal	Active	Jacareí	São Paulo
Amud	Black Metal	Active	Belo Horizonte	Minas Gerais
Amurians	Heavy Metal	Active	São Paulo	São Paulo
Amuro	Black Metal	Active	Florianópolis	Santa Catarina
Anachronoz	Death/Thrash Metal	Split-up	Curitiba	Paraná
Anal Putrefaction	Death Metal/Grindcore	Split-up	Aracaju	Sergipe
Anama	Progressive/Symphonic Metal	Active	São Bernardo do Campo	São Paulo
Anarca	Heavy Metal	Split-up	São Paulo	São Paulo
Anarchus	Death/Thrash Metal	Split-up	Belo Horizonte	Minas Gerais
Anarkhon	Death Metal (early); Black/Death Metal (later)	Active	Guarulhos	São Paulo
Anarkhronic	Death/Thrash Metal	Active	Manhuaçu	Minas Gerais
Anartria	Death Metal/Grindcore	Split-up	Palhoça	Santa Catarina
Anastomose	Death Metal/Grindcore	Active	Sorocaba	São Paulo
Anátema	Black/Doom Metal	Split-up	Campina Grande	Paraíba
Anatomy Corruption	Death/Stoner Metal	Active	Mundo Novo	Mato Grosso do Sul
Anatriz	Power Metal with Black/Death elements	Split-up	Palhoça	Santa Catarina
Anax	Death Metal	Unknown	Rio de Janeiro	Rio de Janeiro
Anaxes	Progressive Metal	Active	Caxias do Sul	Rio Grande do Sul
Ancestor	Death Metal	Active	São Paulo	São Paulo
Ancestor	Thrash Metal	Changed name	São José dos Campos	São Paulo
Ancestral Cântico	Black Metal	Active	Salvador	Bahia
Ancestral Malediction	Death Metal	Active	Tremembé	São Paulo
Ancestral Terror	Death/Thrash Metal	On hold	Catalão	Goiás
Ancesttral	Groove/Thrash Metal	Split-up	São Paulo	São Paulo
Ancient Age	Black Metal	Active	Atibaia	São Paulo
Ancient Land	Pagan Black/Death Metal	Split-up	Embu das Artes	São Paulo
Ancient Monument	Black Metal	Active	Governador Valadares	Minas Gerais
Ancient Ritual	Pagan Metal	Active	Caxias do Sul	Rio Grande do Sul
Ancient Sign Glorify	Black Metal	Split-up	Rio de Janeiro	Rio de Janeiro
Ancient Tower	Doom Metal	Active	São Paulo	
Ancient War Spirit	Black Metal	On hold	Recife	Pernambuco
Ancientblood	Black Metal	Changed name	Ilha do Governador	Rio de Janeiro
Ancillae	Death/Thrash Metal	Active	Carazinho	Rio Grande do Sul
Ancor	Gothic Metal	Split-up	São Leopoldo	Rio Grande do Sul
Andarilho	Black/Speed Metal	Active	Rio de Janeiro	Rio de Janeiro
Anderuvius	Progressive Heavy Metal	Active	Sorocaba	São Paulo
Andragonia	Progressive Metal	Unknown	São Paulo	São Paulo
Andralls	Thrash Metal	Active	São Paulo	São Paulo
András	Black Metal	Split-up	Santa Mariana	Paraná
Andre Matos	Heavy/Power Metal	Split-up	São Paulo	São Paulo
Andromalius	Black Metal	Active	Gurupi	Tocantins
Andrômeda	Thrash/Death Metal	Split-up	Mogi Guaçu	São Paulo
Andromeda	Heavy Metal	Split-up	São Paulo	São Paulo
Andrômmeda	Heavy Metal	Active	Recife	Pernambuco
Androna	Heavy/Power Metal	Active	Uberlândia	Minas Gerais
Andurá	Black Metal	Active	Campos dos Goytacazes	Rio de Janeiro
Anéis de Saturno	Progressive Metal	Split-up	Rio de Janeiro	Rio de Janeiro
Anestesia	Thrash Metal	Split-up	Manaus	Amazonas
Anestesic	Thrash Metal	Active	Santo Antônio de Posse	São Paulo
Anestesya	Thrash Metal	Split-up	Garibaldi	Rio Grande do Sul
Anesthesia	Death Metal	Changed name	Caxias do Sul	Rio Grande do Sul
Anesthesia of Beer	Thrash Metal/Crossover	Active	Campos dos Goytacazes	Rio de Janeiro
Aneurose	Thrash Metal	Active	Lavras	Minas Gerais
Anfauglith	Pagan/Black Metal	Active	Olinda	Pernambuco
Anfear	Melodic Heavy/Folk Metal	Active	São Paulo	
Angant	Heavy Metal	Active	São Bernardo do Campo	São Paulo
Angel	Thrash Metal	Split-up	São Paulo	São Paulo
Angel Butcher	Thrash Metal/Crossover	Unknown	Araguari	Minas Gerais
