Country of origin	Location	Status	Formed in	Genre	Themes	Current label	Years active	url
Brazil	Rio de Janeiro	Active	2021	Heavy/Stoner Metal	Catharsis, Heart, Mind, Soul, Body, Spirit, Passions, Senses, Existence	Unsigned/independent	2021-present	https://www.metal-archives.com/bands/Kathartica/3540556483
Brazil	Manaus, Amazonas	Active	2016	Melodic Black Metal	N/A	Unsigned/independent	2016-present	https://www.metal-archives.com/bands/Katharzian/3540520347
Brazil	Curitiba, Paraná	Active	2019	Black Metal	Misanthropy, War	Unsigned/independent	2019-present	https://www.metal-archives.com/bands/Katrofy/3540533794
Brazil	Curitiba, Paraná	Active	2006	Power Metal	Arabian culture	Bakerteam Records	2006-present	https://www.metal-archives.com/bands/Kattah/3540308520
Brazil	Jundiaí, São Paulo	Active	2000	Stoner Metal	Sex, Blasphemy, Terror histories	Klozed Circle Produktionz	2000-present	https://www.metal-archives.com/bands/Kaustik/3540299924
Brazil	Fortaleza, Ceará	Split-up	2009	Thrash Metal	Anti-religion, Drugs, Satanism	Unsigned/independent	2009-2013	https://www.metal-archives.com/bands/Kavera/3540392813
Brazil	São Paulo, São Paulo	Active	1992	Heavy Metal/Hard Rock	N/A	Unsigned/independent	1992-1998, 2004-present	https://www.metal-archives.com/bands/Kavla/41215
Brazil	Maceió, Alagoas	Changed name	N/A	Brutal Death Metal	N/A	Unsigned/independent	?-2001, 2001-present (as Lammashta)	https://www.metal-archives.com/bands/Kavy/3540492449
Brazil	Ribeirão Pires, São Paulo	Split-up	1997	Black Metal	War, Paganism	Unsigned/independent	1997-2013	https://www.metal-archives.com/bands/Kaziklu_Bey/24861
Brazil	Caxias do Sul, Rio Grande do Sul	Active	2013	Groove/Death Metal/Deathcore	N/A	Unsigned/independent	2013-present	https://www.metal-archives.com/bands/Keep_Them_Blind/3540411740
Brazil	N/A	Unknown	N/A	Heavy/Power Metal	N/A	Unsigned/independent	N/A	https://www.metal-archives.com/bands/Keeper_of_the_Shadows/3540535192
Brazil	São Bernardo do Campo, São Paulo	Active	2012	Thrash Metal	History, Politics, Internal conflicts	Unsigned/independent	2012-present	https://www.metal-archives.com/bands/Keeptor/3540389983
Brazil	Brasília, Distrito Federal	Split-up	1995	Progressive/Power Metal	Polemic issues, Christianity	Unsigned/independent	1995-?	https://www.metal-archives.com/bands/Kennereth/119827
Brazil	Campinas, São Paulo	Unknown	1998	Melodic Heavy Metal	N/A	Unsigned/independent	1998-2002, 2015-?	https://www.metal-archives.com/bands/Keophsia/3540415994
