Country of origin	Location	Status	Formed in	Genre	Themes	Current label	Years active	url
Brazil	Piracicaba, São Paulo	Split-up	N/A	Death/Thrash Metal	N/A	Unsigned/independent	N/A	https://www.metal-archives.com/bands/Brutal_Sossego/128730
Brazil	São Paulo, São Paulo	Split-up	1995	Death Metal	N/A	Unsigned/independent	1995-?	https://www.metal-archives.com/bands/Brutal_Symphony/3540409078
Brazil	Fortaleza, Ceará	Split-up	1990	Death Metal/Grindcore	Diseases, Sex, Perversity	Unsigned/independent	1990-?	https://www.metal-archives.com/bands/Brutal_Verms/3540427480
Brazil	Santa Maria da Vitória, Bahia	Active	2006	Death/Thrash Metal	Christianity, Apocalypse	Extreme Records	2006-present	https://www.metal-archives.com/bands/Brutal_War/126686
Brazil	Carangola, Minas Gerais	Split-up	2021	Death Metal/Grindcore	Politics, Social issues, Violence	Sepulchral Silence	2021-2022, 2021-2022	https://www.metal-archives.com/bands/Brutalidade/3540492199
Brazil	Rio de Janeiro, Rio de Janeiro	Split-up	1991	Heavy/Speed Metal	War, Personal struggles, Life, Sex	Unsigned/independent	1991-?	https://www.metal-archives.com/bands/Brutality/3540308594
Brazil	São Paulo, São Paulo	Unknown	1997	Death/Thrash Metal	N/A	Unsigned/independent	1997-?	https://www.metal-archives.com/bands/Brutalization/53452
Brazil	São Luís, Maranhão	Active	2002	Thrash/Heavy Metal	N/A	Unsigned/independent	2002-present	https://www.metal-archives.com/bands/Brutallian/3540395408
Brazil	Nova Friburgo, Rio de Janeiro	Active	2017	Thrash Metal	N/A	Unsigned/independent	2017-present	https://www.metal-archives.com/bands/Bruthus/3540436917
Brazil	Gama, Distrito Federal	Active	2004	Thrash Metal	N/A	Unsigned/independent	2004-present	https://www.metal-archives.com/bands/Bruto/93297
Brazil	São Paulo, São Paulo	Active	N/A	Death Metal	N/A	Unsigned/independent	N/A	https://www.metal-archives.com/bands/Brutta/3540507931
Brazil	Duque de Caxias, Rio de Janeiro	Active	1987	Heavy Metal	N/A	Unsigned/independent	1987-present	https://www.metal-archives.com/bands/Bruxa_Argaica/103250
Brazil	Brasília, Distrito Federal	Active	1986	Crossover (early); Death/Thrash Metal (later)	Politics, Skateboarding	Unsigned/independent	1986-present	https://www.metal-archives.com/bands/BSB-H/24739
Brazil	Recife, Pernambuco	Active	1997	Folk Metal	History, Life, Feelings	Unsigned/independent	1997-present, 2013-present	https://www.metal-archives.com/bands/Buaiteoir/3540382870
Brazil	N/A	Active	2015	Raw Black Metal	Death, Misanthropy, Left hand path, Hatred	Unsigned/independent	2015-present	https://www.metal-archives.com/bands/Bubonic_Cult/3540414952
Brazil	São Paulo, São Paulo	Active	2020	Depressive/Raw Black Metal	Depression, Hopelessness, Melancholy, Filth, Death	Unsigned/independent	2020-present	https://www.metal-archives.com/bands/B%C3%BAldr/3540538870
Brazil	Curitiba, Paraná	Active	2010	Doom/Post-Metal	Urban, Depression, Empty black and white	Unsigned/independent	2010-present	https://www.metal-archives.com/bands/Bullet_Course/3540376142
Brazil	São Paulo, São Paulo	Active	2013	Heavy Metal	N/A	Unsigned/independent	2013-present	https://www.metal-archives.com/bands/Bulletback/3540427846
Brazil	Catanduva, São Paulo	Active	N/A	Thrash/Heavy Metal	N/A	Unsigned/independent	N/A	https://www.metal-archives.com/bands/Bum/3540557994
Brazil	Americana, São Paulo	Split-up	2005	Thrash Metal/Hardcore	Politics, War, Death, Anger, Hate, Nationalism	Unsigned/independent	2005-?	https://www.metal-archives.com/bands/Bunker/105292
Brazil	Nova Lima, Minas Gerais	Unknown	2004	Black/Death Metal	Occultism, Thelema	Unsigned/independent	2004-?	https://www.metal-archives.com/bands/Bunkher_418/53935
Brazil	Embu das Artes, São Paulo (early); Franco da Rocha, São Paulo (later)	Active	2012	Black Metal	Anti-human	Black Candle Records	2012-present	https://www.metal-archives.com/bands/Burezur/3540345522
Brazil	Guarujá, São Paulo	Split-up	N/A	Thrash/Death Metal	N/A	Unsigned/independent	N/A	https://www.metal-archives.com/bands/Burial/3540438615
Brazil	Trindade, Goiás	Changed name	1998	Death Metal	Christianity	Unsigned/independent	?-1998 (as Testify), 1998-2000, 2000-2003 (as Burial Sarkikos)	https://www.metal-archives.com/bands/Burial/127376
Brazil	Trindade, Goiás	Split-up	2000	Death Metal	Christianity	Unsigned/independent	?-1998 (as Testify), 1998-2000 (as Burial), 2000-2003	https://www.metal-archives.com/bands/Burial_Sarkikos/69290
Brazil	Brasília, Federal District	Active	2017	Death Metal	Necrolatry, Funeral Rites, Death worship, Spirituality	Cianeto Discos	2017-present	https://www.metal-archives.com/bands/Burial_Temple/3540455678
Brazil	Curitiba, Paraná	Unknown	2007	Death Metal/Metalcore	Hope	Unsigned/independent	2007-?	https://www.metal-archives.com/bands/Buried_Yesterday/121095
Brazil	Monte Alto, São Paulo	Active	2014	Heavy Metal	N/A	Unsigned/independent	2014-2017 (as Burn), 2017-present	https://www.metal-archives.com/bands/Burn_Incorporated/3540443507
Brazil	Porto Alegre, Rio Grande do Sul	Active	2009	Technical Death Metal/Grindcore	Death, Human decay	Emanzipation Productions	2009-present	https://www.metal-archives.com/bands/Burn_the_Mankind/3540374393
Brazil	Belém, Pará	Active	2005	Heavy Metal/Hard Rock	N/A	New Acid Planet	2005-present	https://www.metal-archives.com/bands/Burning_Brains/3540403237
Brazil	Guarulhos, São Paulo	Active	N/A	Progressive/Power Metal	N/A	Unsigned/independent	N/A	https://www.metal-archives.com/bands/Burning_Christmas/3540445914
Brazil	Brasília, Distrito Federal	Active	2021	Death/Thrash Metal	Death, Darkness, Hatred, Suffering	Unsigned/independent	2021-present	https://www.metal-archives.com/bands/Burning_Death/3540526596
Brazil	Cuiabá, Mato Grosso	Active	2004	Thrash Metal	War, Chaos, Violence	Unsigned/independent	2004-present	https://www.metal-archives.com/bands/Burning_in_Hate/3540407025
Brazil	Caxias do Sul, Rio Grande do Sul	Active	1995	Power Metal	War, Freedom	Encore Records	1995-present	https://www.metal-archives.com/bands/Burning_in_Hell/3779
Brazil	Taquaritinga, São Paulo	Active	2020	Heavy/Power Metal	N/A	Unsigned/independent	2020-present	https://www.metal-archives.com/bands/Burning_Steel/3540536846
Brazil	Fortaleza, Ceará	Active	2011	Death/Black Metal	Death, Destruction, Anti-Christianity, Chaos, Hate	Unsigned/independent	2011-present	https://www.metal-archives.com/bands/Burning_Torment/3540340186
Brazil	Pouso Alegre, Minas Gerais	Active	2014	Thrash/Death Metal	N/A	Unsigned/independent	2014-present	https://www.metal-archives.com/bands/Burnkill/3540409990
Brazil	Jacareí, São Paulo	Active	2019	Heavy Metal	N/A	Unsigned/independent	2019-present	https://www.metal-archives.com/bands/Burst_into_Fire/3540466248
Brazil	Manaus, Amazonas	Active	2022	Blackened Death Metal	History, Human Praxis, Social Criticism, Anti-Christianity, Mythology	Unsigned/independent	2022-present	https://www.metal-archives.com/bands/Burying_Existence/3540542945
Brazil	Belford Roxo, Rio de Janeiro	Changed name	2020	Thrash/Death Metal	Anime, Hatsune Miku, Belford Roxo city, Humour	Unsigned/independent	2020-2021, 2021-present (as Radio Everett)	https://www.metal-archives.com/bands/Busco_Esposa/3540489129
Brazil	Belo Horizonte, Minas Gerais	Unknown	1987	Progressive Thrash Metal	Spirituality, Death	Cogumelo Records	1987-?	https://www.metal-archives.com/bands/Butcher/23957
Brazil	Campo Grande, Mato Grosso do Sul	Split-up	2007	Death/Thrash Metal	Politics, History, Fiction, Occultism	Unsigned/independent	2007-2010, 2013-?	https://www.metal-archives.com/bands/Butchercrow/3540377337
Brazil	Brasília, Distrito Federal	Split-up	N/A	Thrash/Death Metal	Alcohol, Death, Satanism	Unsigned/independent	N/A	https://www.metal-archives.com/bands/Butchery/3540289809
Brazil	Nova Odessa, São Paulo	Active	N/A	Thrash Metal/Crossover	N/A	Unsigned/independent	?-2017 (as Os Butequeiros), 2017-present	https://www.metal-archives.com/bands/Butequeiros/3540436541
Brazil	N/A	Active	N/A	Death Metal	N/A	Unsigned/independent	N/A	https://www.metal-archives.com/bands/Buzkashi/3540533508
Brazil	Belém, Pará	Changed name	2020	Black Metal	Quimbanda, Occultism, Nature	Unsigned/independent	2020-2023, 2023-present (as Duldra)	https://www.metal-archives.com/bands/Bvrial_ov_Cristvs/3540477156
Brazil	Blumenau, Santa Catarina	Split-up	1994	Black Metal	Diabolism, Dark poetry, Mysticism	Unsigned/independent	1994-1995, 1995-1999, 2001-2003	https://www.metal-archives.com/bands/By_Disgrace_of_God/18706
Brazil	Natal, Rio Grande do Norte	Active	2017	Heavy Metal	Horror movies	Barleycorn Produções	2017-present	https://www.metal-archives.com/bands/By_the_Dead/3540498396
Brazil	São Paulo, São Paulo	Split-up	1996	Thrash Metal	War, Metal	Mutilation Productions	1996-2013, 2020-?	https://www.metal-archives.com/bands/Bywar/7114
Brazil	Goiânia, Goiás	Split-up	1992	Thrash Metal/Crossover	Political, Society, Daily struggles	Unsigned/independent	1992-?	https://www.metal-archives.com/bands/C.F.C./3540309489
Brazil	São José dos Campos, São Paulo	Split-up	1990	Death Metal	Mythology	Unsigned/independent	1990-?	https://www.metal-archives.com/bands/C.N.P./130011
Brazil	Salvador, Bahia	Unknown	2003	Thrash Metal	Castaway	Unsigned/independent	2003-?	https://www.metal-archives.com/bands/C.O.D.E./24379
Brazil	São Paulo	Active	2008	Black/Death Metal	N/A	Brazilian Ritual Records	2008-present	https://www.metal-archives.com/bands/C.R.U.E/3540492256
Brazil	Belo Horizonte, Minas Gerais	Split-up	1999	Grindcore, Death Metal	Porn, Gore, Sex	Trend Banisher Prod.	1999-?	https://www.metal-archives.com/bands/C.V.I./2510
Brazil	Santa Bárbara d'Oeste, São Paulo	Active	1995	Thrash Metal	N/A	Unsigned/independent	1995-present	https://www.metal-archives.com/bands/C-56/3540285492
Brazil	São José do Rio Preto, São Paulo	Active	2003	Death/Thrash Metal	Chaos of the world	Gustavo Vazquez	2003-present	https://www.metal-archives.com/bands/Cabrero/43084
Brazil	Fortaleza, Ceará	Active	2010	Death Metal	Anti-Christianity, Death, Destruction	NorDeath Prod/Distro	2010-present	https://www.metal-archives.com/bands/Ca%C3%A7ador_de_Almas/3540349961
Brazil	Caruaru, Pernambuco	Active	2012	Grindcore	Violence, Alienation, Reality	Libertinus Records	2012-present	https://www.metal-archives.com/bands/Cachorro_da_Duen%C3%A7a/3540388334
Brazil	Rio de Janeiro	Active	2019	Technical Thrash/Death Metal	N/A	Unsigned/independent	2019-present	https://www.metal-archives.com/bands/Cactek/3540530879
Brazil	Suzano, São Paulo	Active	2002	Thrash/Death/Black Metal	Anti-Christianity	MS Gravações	2002-present	https://www.metal-archives.com/bands/Cadafalso/74844
Brazil	Divinópolis, Minas Gerais	Active	1992	Death Metal	N/A	Unsigned/independent	? (as Criminal Corporation), 1992-2000, 2011-present	https://www.metal-archives.com/bands/Cadaveric_Curse/3540412831
Brazil	Cabo de Santo Agostinho, Pernambuco	Active	2009	Brutal Death Metal (early); Black/Death Metal (later)	Carnage, Anti-Christianity, Satanism	Suicide Apology Records	2009-present	https://www.metal-archives.com/bands/Cadaveric_Infection/3540308139
Brazil	Sorocaba, São Paulo	Active	2023	Brutal Death Metal	Gore, Violence	Black Hole Productions	2023-present	https://www.metal-archives.com/bands/Cadaveric_Mutation/3540540602
Brazil	São Brás do Suaçuí, Minas Gerais	Active	2024	Death Metal	Death, Rebellion, Gore, Horror	Unsigned/independent	2024-present	https://www.metal-archives.com/bands/Cadaveric_Remains/3540559502
Brazil	Itaí, São Paulo	Active	2023	Black Metal	Cosmic Horror	Black Hearts Records	2023-present	https://www.metal-archives.com/bands/Cadaverina/3540531355
Brazil	São Paulo, São Paulo	Split-up	1987	Heavy/Power Metal	N/A	Trasher	1987-?	https://www.metal-archives.com/bands/Cadaverina/3540291533
Brazil	Teresina, Piauí	Active	2009	Black Metal	Anti-Christianity, Anti-God	Calango Canibal	2009-present	https://www.metal-archives.com/bands/Cadaverise/3540368681
Brazil	Passos, Minas Gerais	Active	1991	Death Metal	N/A	Genocidio Records	1991-present	https://www.metal-archives.com/bands/Cadaverizer/3540376851
Brazil	Curitiba, Paraná	Split-up	1995	Thrash Metal/Crossover	Political and social issues, Anti-religion	Unsigned/independent	1995-2018	https://www.metal-archives.com/bands/Cadela_Maldita/3540258374
Brazil	Brasília, Distrito Federal	Active	2016	Thrash/Death Metal	Battles, War	Unsigned/independent	2016-present	https://www.metal-archives.com/bands/C%C3%A3es_de_Guarda/3540557588
Brazil	Florianópolis, Santa Catarina	Changed name	1995	Black Metal	Satanism	Godless Records	1993-1995 (as Black Christ), 1995-1998, 1998-2009 (as Osculum Obscenum), 2015-2016 (as Osculum Obscenum)	https://www.metal-archives.com/bands/Caibalion/23013
Brazil	Rio Negrinho, Santa Catarina	Split-up	1993	Black Metal	Satanism, Dark power	Unsigned/independent	1993-1999	https://www.metal-archives.com/bands/Caifaz/8029
Brazil	Salvador, Bahia	Active	2018	Black/Death Metal	Death, Anti-Christianity, Anti-Cosmic Satanism	Diabolous Productions	2018-2021, 2024-present	https://www.metal-archives.com/bands/Caix%C3%A3o/3540459339
Brazil	São Paulo	Active	2019	Death Metal/Grindcore	N/A	Unsigned/independent	2019-present	https://www.metal-archives.com/bands/Caix%C3%A3o_Podre/3540527163
Brazil	Natal, Rio Grande do Norte	Split-up	2006	Thrash Metal	Heavy Metal, Violence, Death	Unsigned/independent	2006-2011	https://www.metal-archives.com/bands/Calabou%C3%A7o/3540315564
Brazil	Rio de Janeiro, Rio de Janeiro	Split-up	1980	Heavy Metal	Mythology, Fantasy	Heavy Discos	1980-1989	https://www.metal-archives.com/bands/Calibre_38/9675
Brazil	N/A	Split-up	N/A	Heavy Metal	Christianity	Unsigned/independent	N/A	https://www.metal-archives.com/bands/C%C3%A1lice_Sagrado/3540546959
Brazil	Brasília, Distrito Federal	Active	2012	Stoner/Doom/Sludge Metal	Augusto dos Anjos poems, Depression	Unsigned/independent	2012-present	https://www.metal-archives.com/bands/Caligo/3540401788
Brazil	Rio de Janeiro, Rio de Janeiro	Active	2014	Heavy/Thrash Metal	N/A	Unsigned/independent	2014-present	https://www.metal-archives.com/bands/Callamity/3540454444
Brazil	Carapicuíba, São Paulo	Active	1990	Heavy/Doom Metal	Christianity	Blood & Iron Records	1990-1992 (as Calvary), 1992-1995, 2009-2017, 2017-2018 (as Yktus), 2018-present	https://www.metal-archives.com/bands/Calv%C3%A1rio/9676
Brazil	Itaúna, Minas Gerais	Split-up	1991	Death Metal	Death, Vengeance, Satanism	Cogumelo Records	1987-1991 (as Túmulo de Ferro), 1991-2012	https://www.metal-archives.com/bands/Calvary_Death/2089
Brazil	Jundiaí, São Paulo	Split-up	2003	Progressive Metal	N/A	Unsigned/independent	2003-?	https://www.metal-archives.com/bands/Camerata/3540255158
Brazil	São Paulo, São Paulo	Split-up	N/A	Raw Black Metal	Nationalism, Fascism, Italian Patriotism	War Kommand Productions	?-2017	https://www.metal-archives.com/bands/Camicia_Nera/3540397561
Brazil	Salvador, Bahia	Unknown	2003	Thrash/Death Metal	N/A	Unsigned/independent	2003-?	https://www.metal-archives.com/bands/Cammelot/93445
Brazil	Curitiba, Paraná	Active	2000	Black Metal	Satanism, Evil, Anti-Christianity, Blasphemy	Murder Records	2000-2009, 2018-present	https://www.metal-archives.com/bands/Camos/5486
Brazil	Olinda, Pernambuco	Active	1998	Thrash Metal/Crossover	Society	Unsigned/independent	1998-present	https://www.metal-archives.com/bands/Campo_Minado/128734
Brazil	Recife, Pernambuco	Active	2010	Heavy Metal	N/A	Unsigned/independent	2010-present	https://www.metal-archives.com/bands/Camus/3540503110
Brazil	Rio de Janeiro, Rio de Janeiro	Active	1992	Death Metal	N/A	Unsigned/independent	1992-1995, 2014-present	https://www.metal-archives.com/bands/Cancro/3540401266
Brazil	Duque de Caxias, Rio de Janeiro	Split-up	2000	Heavy Metal	Christianity	Unsigned/independent	2000-?	https://www.metal-archives.com/bands/Candelabro/3540309534
Brazil	Paulo Afonso, Bahia	Active	2013	Black Metal	Darkness, Satanism, Anti-Christianity	Black Candles Records	2013-present	https://www.metal-archives.com/bands/Candeliere/3540373978
Brazil	Tefé, Amazonas	Active	2019	Groove Metal	Regional folklore, Terror, Death	Unsigned/independent	2019-present	https://www.metal-archives.com/bands/Candiru/3540473522
Brazil	Petrolina, Pernambuco	Active	N/A	Black/Heavy Metal	N/A	Unsigned/independent	N/A	https://www.metal-archives.com/bands/Candles/3540556665
Brazil	Lauro de Freitas, Bahia	Active	2013	Crossover/Thrash Metal/Hardcore	N/A	Trinca de Selos	2013-present	https://www.metal-archives.com/bands/Canelada_HC/3540540366
Brazil	Santarém, Pará	Active	2014	Thrash/Death Metal	N/A	Unsigned/independent	2014-present	https://www.metal-archives.com/bands/Cangaceiro_do_Inferno/3540403275
Brazil	Recife, Pernambuco	Active	2010	Death/Folk Metal	Brazilian Northeast history, Cangaço, Conflicts of contemporary reality, Poetry	Digital Yourself	? (as Omega), ?-2009 (as Vectrus), 2010-present	https://www.metal-archives.com/bands/Canga%C3%A7o/3540317186
Brazil	Farroupilha, Rio Grande do Sul	Split-up	2001	Death Metal/Grindcore	Gore	Unsigned/independent	2001-?	https://www.metal-archives.com/bands/Canibale/35838
Brazil	Paranaguá, Paraná	Active	2003	Black/Death/Doom Metal	N/A	Unsigned/independent	2003-present	https://www.metal-archives.com/bands/Canifraz/91885
Brazil	Rio de Janeiro, Rio de Janeiro	Active	2006	Death Metal	Mankind manipulation	Unsigned/independent	2006-2010, 2013-present	https://www.metal-archives.com/bands/Canilive/3540411401
Brazil	São Paulo, São Paulo	On hold	2000	Black Metal	Anti-religion, Philosophy, Paganism	Eastside	2000-present	https://www.metal-archives.com/bands/Canis_Lupus/6317
Brazil	N/A	Unknown	N/A	Death Metal/Grindcore	Murder, Death, Bloodlust, Demons, Sinners	DreamNoise Records	N/A	https://www.metal-archives.com/bands/Cannibal_Rotten_Massacre/3540549937
Brazil	Fortaleza, Ceará	Active	1995	Black/Doom Metal	Sorrow, Solitude, Nature	Unsigned/independent	1995-present	https://www.metal-archives.com/bands/Cantas_ad_Mortuos/36217
Brazil	Lauro de Freitas, Bahia	Split-up	2011	Black Metal	War, Death, Destruction, Hatred, Nihilism	Unsigned/independent	2011-2013, 2011-2024	https://www.metal-archives.com/bands/C%C3%A2ntico_Pag%C3%A3o_%26_Dizeres_Profanos_Ancestrais/3540464718
Brazil	Caruaru, Pernambuco	Active	2001	Black Metal	Satanism, Occult, Anti-God, Sadism, Lust	Unsigned/independent	2001-present	https://www.metal-archives.com/bands/Cantus_Infame/10590
Brazil	Nossa Senhora do Socorro, Sergipe	Unknown	2009	Depressive Black Metal, Ambient	Cold, Desolation, Pain, Misanthropy, Suicide	Atrum Noctis	2009-?	https://www.metal-archives.com/bands/Cantus_Soturnus/3540322649
Brazil	Campinas, São Paulo	Split-up	N/A	Heavy Metal	N/A	Unsigned/independent	N/A	https://www.metal-archives.com/bands/Canyon/3540292101
Brazil	São Paulo	Split-up	2022	Raw Black Metal	N/A	Unsigned/independent	2022-2023	https://www.metal-archives.com/bands/C%C3%A3o_do_Inferno_de_Quaresma/3540509426
Brazil	Curitiba, Paraná	Split-up	1999	Thrash Metal	Problems, Life	Against	1999-2007, 2012-2014	https://www.metal-archives.com/bands/Caos/34193
Brazil	Manaus, Amazonas	Active	2011	Death/Thrash Metal	N/A	Unsigned/independent	2011-present	https://www.metal-archives.com/bands/Caos_Devasta/3540410185
Brazil	Nova Odessa, São Paulo	Active	N/A	Blackened Death Metal	N/A	Unsigned/independent	N/A	https://www.metal-archives.com/bands/Caos_Onipresente/3540462869
Brazil	Recife, Pernambuco	Active	1999	Heavy/Thrash Metal	Mysticism, Reincarnation, Egypt, Mythology, Horror tales, Hypocrisy, Philosophy	Unsigned/independent	? (as Wisdom War), 1999-2007 (as Chaosphere), 2007-present	https://www.metal-archives.com/bands/Caos_Sphere/23493
Brazil	Campinas, São Paulo	Active	2006	Thrash/Death Metal	War, Corruption, Violence, Intolerance, Social issues	Unsigned/independent	2006-present	https://www.metal-archives.com/bands/Caosamorts/3540390560
Brazil	São Paulo, São Paulo	Active	N/A	Black/Death Metal	N/A	Unsigned/independent	N/A	https://www.metal-archives.com/bands/CaosCultoMorte/3540480844
Brazil	Rio de Janeiro, Rio de Janeiro	Active	2011	Thrash Metal	N/A	Unsigned/independent	2011-present	https://www.metal-archives.com/bands/Caosficina/3540488954
Brazil	N/A	Active	N/A	Progressive Melodic Power Metal	N/A	Unsigned/independent	N/A	https://www.metal-archives.com/bands/Capella/3540487014
Brazil	Londrina, Paraná	Split-up	2019	Raw Black Metal	Murder, Death, Anti-religion	Unsigned/independent	2019-?	https://www.metal-archives.com/bands/Capeta/3540508302
Brazil	Rio de Janeiro	Active	2021	Black Metal	Vengeance, The diabolical, Violence, Chaos	Digital Yourself	2021-present	https://www.metal-archives.com/bands/Capiroto/3540497020
Brazil	N/A	Active	2022	Grindcore/Death Metal	N/A	Unsigned/independent	2022-present	https://www.metal-archives.com/bands/Captain_Spaulding%27s_Kitchen/3540523161
Brazil	Belo Horizonte, Minas Gerais	Active	N/A	Doom/Sludge/Post-Metal	N/A	Liberation	N/A	https://www.metal-archives.com/bands/Carahter/3540526850
Brazil	Paulínia, São Paulo	Unknown	2008	Thrash/Groove Metal	N/A	Unsigned/independent	2008-?	https://www.metal-archives.com/bands/Caravella/3540503654
Brazil	Recife, Pernambuco	Active	2002	Progressive/Power Metal	Fantasy, Life	Rockshots Records	2002-2013, 2015, 2018-present	https://www.metal-archives.com/bands/Caravellus/19446
Brazil	Manaus, Amazonas	Active	2015	Death/Thrash Metal	N/A	Metal Ear Records	2015-present	https://www.metal-archives.com/bands/Carbonation/3540419963
Brazil	Garanhuns, Pernambuco	Split-up	1998	Death Metal	N/A	Moondo	1998-?	https://www.metal-archives.com/bands/Carbonized/9692
Brazil	Natal, Rio Grande do Norte	Split-up	2013	Thrash Metal	Religion, Violence, War, Suffering	Unsigned/independent	2013-2017	https://www.metal-archives.com/bands/Carbonizer/3540405952
Brazil	Valinhos, São Paulo	Active	2009	Experimental Death Metal	Dadaism	Unsigned/independent	2009-present	https://www.metal-archives.com/bands/Carbono/3540423041
Brazil	Fortaleza, Ceará	Active	2007	Thrash Metal	Violence, Alcohol, Popular culture, Satanism	Unsigned/independent	2003-2005 (as Rasga Mortalha), 2007-present	https://www.metal-archives.com/bands/Carcar%C3%A1/122484
Brazil	Rio de Janeiro, Rio de Janeiro	Active	N/A	Thrash Metal	N/A	Unsigned/independent	N/A	https://www.metal-archives.com/bands/C%C3%A1rcere/3540457620
Brazil	Santo Anastácio, São Paulo	Split-up	2017	Death Metal	Psychopathy, Suffering, Profanation	Digital Yourself	2017-?	https://www.metal-archives.com/bands/Carcinogenesis/3540433995
Brazil	João Pessoa, Paraíba	Split-up	1994	Death Metal	Murder, Violence, Serial killers	Unsigned/independent	1994-1996	https://www.metal-archives.com/bands/Carcinoma/3540379313
Brazil	Porto Alegre, Rio Grande do Sul	Active	1996	Death Metal	Apocalypse, Chaos, Mankind, Surrealism, Suffering	Unsigned/independent	1996-2003, 2014-2023	https://www.metal-archives.com/bands/Carcinosi/10592
Brazil	Lajeado, Rio Grande do Sul	Changed name	1999	Noisegrind (early); Goregrind/Death Metal (later)	Christianity, Gore, Society, Anti-fascism	Unsigned/independent	1998-1999 (as God's Way), 1999-2002, 2002-present (as Harmony Fault)	https://www.metal-archives.com/bands/Carkemis/3540488091
Brazil	Porto Alegre, Rio Grande do Sul	Active	2003	Neoclassical Heavy Metal/Shred	Instrumental	Guitar Nine Records	2003-present	https://www.metal-archives.com/bands/Carlos_Lichman/125614
Brazil	Rio Grande da Serra, São Paulo	Split-up	2010	Death/Black Metal	Blasphemy, Death, Satanism, Anti-Christianity, War	Unsigned/independent	2010-2019	https://www.metal-archives.com/bands/Carnage/3540322727
Brazil	Betim, Minas Gerais	Active	2001	Black/Thrash Metal	Anti-religion, Death, Darkness, Hell	Headbanger's Behavior	2001-present	https://www.metal-archives.com/bands/Carnage/3540512465
Brazil	Uberlândia, Minas Gerais	Active	2005	Death Metal	War, Death, Destruction	Unsigned/independent	2005-present	https://www.metal-archives.com/bands/Carnage_Hell/3540340532
Brazil	Rio Grande, Rio Grande do Sul	Unknown	N/A	Death Metal	N/A	Unsigned/independent	N/A	https://www.metal-archives.com/bands/Carnage_of_Deformed/3540500170
Brazil	Belém, Pará	Split-up	2000	Death/Black Metal	Destruction, Death	Vampiria Records	2000-2008	https://www.metal-archives.com/bands/Carnage_Valley/37933
Brazil	São Paulo, São Paulo	Active	N/A	Death Metal/Grindcore	N/A	Unsigned/independent	N/A	https://www.metal-archives.com/bands/Carnal_Atrocity/3540469553
Brazil	N/A	Active	N/A	Death Metal	Religion, Politics, War	Till You Fukkin Bleed	N/A	https://www.metal-archives.com/bands/Carnal_Condemnation/3540409156
Brazil	Santos, São Paulo	Split-up	1991	Crossover	Sex	Unsigned/independent	1991-2019	https://www.metal-archives.com/bands/Carnal_Desire/3540504822
Brazil	São Paulo	Split-up	2021	Death Metal/Grindcore	Gore, Disease, Violence	Unsigned/independent	2021-2025	https://www.metal-archives.com/bands/Carni%C3%A7a/3540514669
Brazil	Novo Hamburgo, Rio Grande do Sul	Active	1991	Death/Thrash Metal	Politics, Social themes	Voice Music	1991-2004, 2008-present	https://www.metal-archives.com/bands/Carni%C3%A7a/13305
Brazil	Teresina, Piauí	Split-up	2015	Death Metal	Anti-Christianity, Mythology, Death, Gore	Songs for Satan	2015-2022	https://www.metal-archives.com/bands/Carni%C3%A7ais/3540412814
Brazil	Nova Odessa, São Paulo	Active	2019	Death/Thrash Metal	Anti-christianity, Satanism, The Occult, Mental Illness	Unsigned/independent	2019-2023, 2024-present	https://www.metal-archives.com/bands/Carni%C3%A7al/3540479049
Brazil	Porto Velho, Rondônia	Active	2015	Death Metal	N/A	Unsigned/independent	2015-present	https://www.metal-archives.com/bands/Carni%C3%A7aria/3540494208
Brazil	São Paulo, São Paulo	Split-up	2005	Brutal Death Metal/Goregrind	Hate, Horror, Death, Gore	Unsigned/independent	2005-2009	https://www.metal-archives.com/bands/Carniceira/84120
Brazil	São Bernardo do Campo, São Paulo	Unknown	2006	Death Metal/Grindcore	Porn, Splatter	Unsigned/independent	2006-?	https://www.metal-archives.com/bands/Carniceiro/127269
Brazil	Campinas, São Paulo	Split-up	2005	Raw Black Metal	Blasphemy	Unsigned/independent	2005-?	https://www.metal-archives.com/bands/Carniceiro_Bizarro/123000
Brazil	Jundiaí, São Paulo	Split-up	2004	Death Metal/Grindcore	Horror, Subconscious, Depravity, Death, Atheistic	Unsigned/independent	2004-2007	https://www.metal-archives.com/bands/Carnicero/104554
Brazil	N/A	Active	2022	Black Metal	N/A	Unsigned/independent	2022-present	https://www.metal-archives.com/bands/Carnificina/3540529510
Brazil	Ibiraiaras, Rio Grande do Sul	Unknown	2005	Death Metal	Gore, Splatter, Death	Unsigned/independent	2005-?	https://www.metal-archives.com/bands/Carnificina/70895
Brazil	Salvador, Bahia	Active	1994	Death/Black Metal	Occultism, Medieval battles	Eternal Hatred Records	1994-2005, 2021-present	https://www.metal-archives.com/bands/Carnified/9805
Brazil	Cascavel, Paraná	Unknown	2005	Goregrind	Gore, Sickness, Humour, Excrements, Perversion	Unsigned/independent	2005-?	https://www.metal-archives.com/bands/Carnivore_Mind/73719
Brazil	Boa Vista, Roraima	Active	2015	Groove/Death/Thrash Metal	N/A	Unsigned/independent	2015-present	https://www.metal-archives.com/bands/Carn%C3%ADvoro/3540497579
Brazil	Macapá, Amapá	Active	2008	Thrash Metal	N/A	Unsigned/independent	2008-present	https://www.metal-archives.com/bands/Carnnyvale/3540517378
